Site ID,IP Address,Serial Number,Audio 1 L,Audio 1 L Service,Audio 1 R,Audio 1 R Service,Audio 2,Audio 2 Service,Audio 3,Audio 3 Service,Audio 4 L,Audio 4 L Service,Audio 4 R,Audio 4 R Service,Site Name,District,State
2046,10.49.33.46,34401610062,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Ivanhoe RT,Melbourne,NSW
2052,10.12.20.20,34401623868,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Knights Hill,Canberra,NSW
2064,10.12.18.74,34402861763,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Middle Brother,Newcastle,NSW
2066,10.49.47.74,34401599312,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Bingar,Melbourne,NSW
2067,10.12.17.20,34401622339,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Canobolas,Newcastle,NSW
2068,10.12.22.82,34401610868,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Cenn Cruaich,Newcastle,NSW
2069,10.12.23.76,34401609029,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Dowe,Newcastle,NSW
2072,10.66.142.173,34402273627,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Gray RT,Canberra,NSW
2075,10.12.19.20,34401622346,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Moombil,Newcastle,NSW
2076,10.12.25.20,34401600046,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Nardi,Brisbane,NSW
2079,10.12.31.55,34401623934,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Sugarloaf,Newcastle,NSW
2082,10.12.50.90,34401612801,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Wandera,Canberra,NSW
2095,10.49.1.43,34401625220,2506,891 ABC Adelaide,2501,ABC RN,2500,Classic FM,2505,triple j,2001,ABC News,2900,ABC EMG1,Rocky Hill,Adelaide,NSW
2132,10.66.138.138,34401625221,2202,ABC Dubbo,2201,ABC RN,2200,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Willans Hill,Canberra,NSW
3001,10.66.136.106,34401625275,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Apex Lookout,Melbourne,VIC
3008,10.66.128.15,34401626597,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Dooen MF,Melbourne,VIC
3013,10.13.16.73,34401620243,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Goschen,Melbourne,VIC
3017,10.13.22.20,34401608097,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Lookout Hill,Melbourne,VIC
3020,10.49.5.204,34401609187,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mallacoota RT,Melbourne,VIC
3026,10.13.23.20,34401623044,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Alexander,Melbourne,VIC
3028,10.13.24.82,34401620598,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Baranduda,Melbourne,VIC
3029,10.49.33.142,34401601509,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Clay,Melbourne,VIC
3031,10.13.17.20,34401597976,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Dundas,Melbourne,VIC
3035,10.13.21.20,34401627700,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Major,Melbourne,VIC
3038,10.13.25.80,34401619775,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Mt Tassie,Melbourne,VIC
3057,10.13.50.20,34401623024,2302,ABC Wdnga,2301,ABC RN,2300,Classic FM,2204,triple j,2001,ABC News,2900,ABC EMG1,Yatpool,Melbourne,VIC
4000,10.66.144.139,34401606635,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Alpha,South Queensland,QLD
4014,10.66.149.177,34401626859,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Black Mountain RT,Brisbane,QLD
4023,10.66.150.140,34402281936,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2901,ABC EMG2,Buchan Point RT,North Queensland,QLD
4026,10.49.6.205,34401622542,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Camooweal RT,North Queensland,QLD
4036,10.49.34.144,34401623562,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Cooktown,North Queensland,QLD
4039,10.49.43.235,34401628249,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Croydon,North Queensland,QLD
4046,10.49.17.13,34401621452,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Dulong Lookout,Brisbane,QLD
4051,10.66.146.77,34402078249,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Emerald Downs RT,South Queensland,QLD
4053,10.49.42.238,34401609000,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Georgetown,North Queensland,QLD
4062,10.49.42.206,34401612691,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Hospital Hill,North Queensland,QLD
4070,10.49.8.200,34401611647,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Karumba,North Queensland,QLD
4071,10.49.43.203,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Laura RT,North Queensland,QLD
4074,10.65.202.12,34402069810,2407,612 ABC Brisbane,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Lower Beechmont,Brisbane,QLD
4086,10.49.5.110,34401610597,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mitchell Escarpment,South Queensland,QLD
4091,10.11.22.36,34401623714,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Bellenden-Ker,North Queensland,QLD
4093,10.11.23.20,34401627306,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Blackwood,North Queensland,QLD
4097,10.11.21.36,34401604679,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Goonaneman,South Queensland,QLD
4100,10.49.29.78,34401620772,2404,ABC Mt Isa,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,DCA Hill,North Queensland,QLD
4104,10.11.19.36,34401604705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mt Mowbullan,South Queensland,QLD
4105,10.49.12.111,34401621912,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Myrtle RT,North Queensland,QLD
4107,10.11.50.20,34401620894,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Mt Stuart,North Queensland,QLD
4114,10.11.18.36,34401609951,2406,ABC Toowoo,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Passchendaele Ridge,South Queensland,QLD
4115,10.49.43.139,34401623034,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Pentland RT,North Queensland,QLD
4125,10.66.150.205,34401603094,2403,ABC Longre,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Round Hill,South Queensland,QLD
4127,10.66.139.76,34402083072,2402,ABC Cairns,2401,ABC RN,2400,Classic FM,2405,triple j,2001,ABC News,2900,ABC EMG1,Shingle Beach Hill,North Queensland,QLD
