1001,Mulong,No District,NULL
2001,Kellys Plain,Newcastle ,NSW
2002,Macpherson Range MF,Newcastle ,NSW
2003,Ashford,Brisbane ,NSW
2004,Bald Hill,Newcastle ,NSW
2005,Balranald,Melbourne ,NSW
2006,Bega MF,Canberra ,NSW
2007,Beresfield MF,Newcastle ,NSW
2008,Black Mountain Tower,Canberra ,ACT
2009,Bombala,Canberra ,NSW
2010,Browns Hill,Brisbane ,NSW
2011,Bouddi Peninsula,Newcastle ,NSW
2014,Broken Hill MF,Adelaide ,NSW
2015,Brokers Nose,Canberra ,NSW
2016,Brown Mountain,Canberra ,NSW
2017,Buninyong Hill RT,Newcastle ,NSW
2018,Byrock MF,Newcastle ,NSW
2020,Gungahlin MF,Canberra ,ACT
2021,Fort Bourke Hill,Newcastle ,NSW
2022,Collarenebri,Sydney ,NSW
2023,Condobolin,Newcastle ,NSW
2024,Cooma MF,Canberra ,NSW
2025,Radio Hill RT,Canberra ,NSW
2026,Corowa MF,Melbourne ,NSW
2027,Wades Hill,Canberra ,NSW
2028,Cumnock MF,Newcastle ,NSW
2029,Deniliquin,Melbourne ,NSW
2031,Bimmil Hill,Canberra ,NSW
2032,The Gap Range,Brisbane ,NSW
2034,Carpenters Hill,Brisbane ,NSW
2035,Glen Innes MF,Brisbane ,NSW
2037,Kia-Ora Lookout,Newcastle ,NSW
2038,Goodooga RT,Newcastle ,NSW
2040,Gore Hill,Canberra ,NSW
2041,Rumbulara,Newcastle ,NSW
2042,Goulburn MF,Canberra ,NSW
2044,Hay,Melbourne ,NSW
2045,Inverell,Brisbane ,NSW
2046,Ivanhoe RT,Melbourne ,NSW
2047,Jerilderie,Melbourne ,NSW
2048,Jinderboine Hill,Canberra ,NSW
2049,Mt Cumbermelon,Newcastle ,NSW
2052,Knights Hill,Canberra ,NSW
2053,Korora Basin,Newcastle ,NSW
2054,Geneva Hill,Brisbane ,NSW
2055,Jolly Nose Hill,Newcastle ,NSW
2056,Lawrence MF,Brisbane ,NSW
2057,Lightning Ridge,Newcastle ,NSW
2058,Littleton,Canberra ,NSW
2059,Lithgow MF,Canberra ,NSW
2060,Liverpool MF,Canberra ,NSW
2061,Manilla MF,Newcastle ,NSW
2062,Menindee,Adelaide ,NSW
2063,Merriwa,Newcastle ,NSW
2064,Middle Brother,Newcastle ,NSW
2066,Mt Bingar,Melbourne ,NSW
2067,Mt Canobolas,Newcastle ,NSW
2068,Mt Cenn Cruaich,Newcastle ,NSW
2069,Mt Dowe,Newcastle ,NSW
2070,Mt Gibraltar WIN,Canberra ,NSW
2071,Mt Gillamatong,Canberra ,NSW
2072,Mt Gray RT,Canberra ,NSW
2073,Mt Helen RT,Newcastle ,NSW
2074,Mt Mackenzie RT,Brisbane ,NSW
2075,Mt Moombil,Newcastle ,NSW
2076,Mt Nardi,Brisbane ,NSW
2077,Mt Oxley RT,Newcastle ,NSW
2078,Mt Panorama RT,Newcastle ,NSW
2079,Mt Sugarloaf,Newcastle ,NSW
2080,Mt Taylor,Canberra ,ACT
2081,Mt Ulandra,Canberra ,NSW
2082,Mt Wandera,Canberra ,NSW
2083,Endicotts Hill,Newcastle ,NSW
2084,Mungindi,South Queensland ,NSW
2085,Muswellbrook MF,Newcastle ,NSW
2087,Buckeridge Lookout,Canberra ,NSW
2088,North Head,Canberra ,NSW
2090,Cambewarra Lookout,Canberra ,NSW
2091,Nyngan,Newcastle ,NSW
2093,Garlands Hill,Canberra ,NSW
2094,Whod A Thought It Lookout,Newcastle ,NSW
2095,Rocky Hill,Adelaide ,NSW
2096,Rossgole Lookout,Newcastle ,NSW
2097,Smithtown MF,Newcastle ,NSW
2098,Mt Springbrook,Brisbane ,NSW
2099,Stanwell Park WIN,Canberra ,NSW
2103,Taree MF,Newcastle ,NSW
2104,Terranora MF,Brisbane ,NSW
2105,Thredbo,Canberra ,NSW
2106,Basin View MF,Canberra ,NSW
2107,Tottenham,Newcastle ,NSW
2108,Tuggeranong Hill,Canberra ,ACT
2109,Razorback Ridge,Brisbane ,NSW
2110,Little Forest Trig,Canberra ,NSW
2111,Clive Blakes Hill,Newcastle ,NSW
2112,Walgett,Newcastle ,NSW
2113,Wilcannia,Adelaide ,NSW
2114,Wilcannia MF,Adelaide ,NSW
2116,Windang Town MF,Canberra ,NSW
2117,Wyrrabalong Trig,Newcastle ,NSW
2118,Young,Canberra ,NSW
2119,Vale Of Clwydd,Canberra ,NSW
2123,Soma Mountain,Newcastle ,NSW
2124,Cooks Hill,Newcastle ,NSW
2125,Centenary Lookout,Newcastle ,NSW
2126,Little Duval Lower,Newcastle ,NSW
2127,Queensborough Trig,Newcastle ,NSW
2130,Windang Peninsula MF,Canberra ,NSW
2132,Willans Hill,Canberra ,NSW
2133,Little Duval Upper RT,Newcastle ,NSW
2134,Prospect MF,Canberra ,NSW
2135,Coorei Hill,Newcastle ,NSW
2136,Artarmon TXA,Canberra ,NSW
2141,Webbs Hill,Canberra ,NSW
2142,Khancoban Hill,Canberra ,NSW
2144,Bicentennial Park MF,Canberra ,NSW
2145,Borombiel Hill,Newcastle ,NSW
2147,Hexham MF,Newcastle ,NSW
2149,Balranald Exchange RT,Melbourne ,NSW
2155,Mt Douglas,Newcastle ,NSW
2159,Bellevue Hill WIN,Newcastle ,NSW
2160,Falls Hill,Canberra ,NSW
2168,One Tree Hill,Melbourne ,NSW
2170,Bathurst East WIN,Newcastle ,NSW
2177,Deniliquin South WIN,Melbourne ,NSW
2178,Mt Mumbulla WIN,Canberra ,NSW
2191,Studio National,No District,NSW
2225,Mt Roberts,Canberra ,NSW
2257,Elan,Canberra ,NSW
2259,Gan Gan Hill RT,Newcastle ,NSW
2260,Mt Penang,Newcastle ,NSW
2262,Mt Sugarloaf NBN,Newcastle ,NSW
2291,The Gap WIN,Canberra ,NSW
2295,Rocky Hill SCB,Adelaide ,NSW
2298,Devines Hill,Brisbane ,NSW
2303,Table Top Mountain,Brisbane ,NSW
2306,Walcha,Newcastle ,NSW
2319,Batlow,Canberra ,NSW
2320,Captains Flat,Canberra ,NSW
2321,Talbingo,Canberra ,NSW
2322,Tumbarumba,Canberra ,NSW
2333,Jingellic,Canberra ,NSW
2334,Bourke Water Plant,Newcastle ,NSW
2335,Brewarrina Water Plant,Newcastle ,NSW
2337,Wilcannia Council,Adelaide ,NSW
2361,Collaroy,Canberra ,NSW
2362,Newport,Canberra ,NSW
2365,Sydney Tower,Canberra ,NSW
2366,Redfern,Canberra ,NSW
3000,Yarck,Melbourne ,VIC
3001,Apex Lookout,Melbourne ,VIC
3002,Arthurs Seat RT,Melbourne ,VIC
3003,Black Hill Reserve,Melbourne ,VIC
3004,Bonnie Doon,Melbourne ,VIC
3005,Tesbury Wayside,Melbourne ,VIC
3006,Craigieburn MF,Melbourne ,VIC
3007,Donalds Knob RT,Melbourne ,VIC
3008,Dooen MF,Melbourne ,VIC
3010,Ferntree Gully,Melbourne ,VIC
3011,Flagstaff Hill RT,Melbourne ,VIC
3013,Goschen,Melbourne ,VIC
3015,Lakes Entrance,Melbourne ,VIC
3016,Longford MF,Melbourne ,VIC
3017,Lookout Hill,Melbourne ,VIC
3018,Lower Plenty MF,Melbourne ,VIC
3020,Mallacoota RT,Melbourne ,VIC
3021,Marysville,Melbourne ,VIC
3022,McKendry Hill,Melbourne ,VIC
3026,Mt Alexander,Melbourne ,VIC
3027,Mt Arapiles RT,Melbourne ,VIC
3028,Mt Baranduda,Melbourne ,VIC
3029,Mt Clay,Melbourne ,VIC
3030,Mt Dandenong,Melbourne ,VIC
3031,Mt Dundas,Melbourne ,VIC
3032,Mt Elliot,Melbourne ,VIC
3033,Mt Lawloit RT,Melbourne ,VIC
3034,Mt Livingstone,Melbourne ,VIC
3035,Mt Major,Melbourne ,VIC
3036,Mt Raymond RT,Melbourne ,VIC
3038,Mt Tassie,Melbourne ,VIC
3039,Mt Victoria,Melbourne ,VIC
3040,Myrtleford,Melbourne ,VIC
3041,Omeo MF,Melbourne ,VIC
3044,Seeleys Hill,Melbourne ,VIC
3045,Meadows Hill WIN,Melbourne ,VIC
3046,Shepparton HF,Melbourne ,VIC
3047,Sydenham MF,Melbourne ,VIC
3048,The Paps,Melbourne ,VIC
3050,Tower Hill,Melbourne ,VIC
3051,Upwey,Melbourne ,VIC
3052,Wangaratta MF,Melbourne ,VIC
3053,Warrion Hill,Melbourne ,VIC
3054,Warrnambool MF,Melbourne ,VIC
3055,Wightmans Hill,Melbourne ,VIC
3056,Wodonga MF,Melbourne ,VIC
3057,Yatpool,Melbourne ,VIC
3058,Constitution Hill,Melbourne ,VIC
3059,Mt Taylor,Melbourne ,VIC
3063,Mt Nowa Nowa,Melbourne ,VIC
3064,Jennings Hill,Melbourne ,VIC
3065,Mills Trig,Melbourne ,VIC
3067,Foster North,Melbourne ,VIC
3068,Como Building,Melbourne ,VIC
3069,Maramingo Hill RT,Melbourne ,VIC
3070,Hill 030,Melbourne ,VIC
3071,Rennies Hill,Melbourne ,VIC
3076,Dog Hill,Melbourne ,VIC
3080,Hopetoun,Melbourne ,VIC
3081,Mt Beauty,Melbourne ,VIC
3082,Mt William WIN,Melbourne ,VIC
3085,Apollo Bay,Melbourne ,VIC
3086,Lorne RT,Melbourne ,VIC
3087,Warrnambool City WIN,Melbourne ,VIC
3097,Mt Dandenong TXA Ornata Road,Melbourne ,VIC
3126,Rosebud,Melbourne ,VIC
3132,Horsham,Melbourne ,VIC
3141,Hopetoun SCA,Melbourne ,VIC
3171,Mt Warrenheip,Melbourne ,VIC
3192,Fishermens Bend,Melbourne ,VIC
3193,Bacchus Marsh,Melbourne ,VIC
3194,101 Collins St Bdlg,Melbourne ,VIC
3196,Werribee,Melbourne ,VIC
4000,Alpha,South Queensland ,QLD
4001,Aramac,South Queensland ,QLD
4003,Augathella,South Queensland ,QLD
4006,Bald Hills MF,Brisbane ,QLD
4007,Bald Knob,Brisbane ,QLD
4008,Bald Rock,North Queensland ,QLD
4009,Barcaldine,South Queensland ,QLD
4010,Barcoola Homestead,South Queensland ,QLD
4012,Bedourie,South Queensland ,QLD
4013,Birdsville RT,South Queensland ,QLD
4014,Black Mountain RT,Brisbane ,QLD
4015,Blackall,South Queensland ,QLD
4018,Boulia,South Queensland ,QLD
4019,Boyne Island WIN,South Queensland ,QLD
4020,Brandon MF,North Queensland ,QLD
4023,Buchan Point RT,North Queensland ,QLD
4026,Camooweal RT,North Queensland ,QLD
4027,Capella,South Queensland ,QLD
4028,Carborough Range,North Queensland ,QLD
4030,Charleville,South Queensland ,QLD
4031,Warrego River MF,South Queensland ,QLD
4032,Towers Hill,North Queensland ,QLD
4033,Clermont,North Queensland ,QLD
4035,Coen RT,North Queensland ,QLD
4036,Cooktown,North Queensland ,QLD
4037,Olio,North Queensland ,QLD
4039,Croydon,North Queensland ,QLD
4040,Cunnamulla,South Queensland ,QLD
4041,Cutlers Hill RT,South Queensland ,QLD
4042,Dalby MF,South Queensland ,QLD
4043,Denham Range,North Queensland ,QLD
4044,Dimbulah,North Queensland ,QLD
4045,Dirranbandi,South Queensland ,QLD
4046,Dulong Lookout,Brisbane ,QLD
4047,Dunk Island,North Queensland ,QLD
4048,Reservoir Hill,South Queensland ,QLD
4049,Eidsvold MF,South Queensland ,QLD
4050,Emerald MF,South Queensland ,QLD
4051,Emerald Downs RT,South Queensland ,QLD
4052,Farrell Lookout,Brisbane ,QLD
4053,Georgetown,North Queensland ,QLD
4054,Goondiwindi,South Queensland ,QLD
4055,Gordonvale MF,North Queensland ,QLD
4056,Gracemere MF,South Queensland ,QLD
4058,Green Hill,North Queensland ,QLD
4059,Greenvale,North Queensland ,QLD
4060,Gympie MF,Brisbane ,QLD
4061,Herberton,North Queensland ,QLD
4062,Hospital Hill,North Queensland ,QLD
4064,Hughenden,North Queensland ,QLD
4066,Isisford,South Queensland ,QLD
4067,Colorado,South Queensland ,QLD
4068,Julia Creek MF,North Queensland ,QLD
4069,Julia Creek RT,North Queensland ,QLD
4070,Karumba,North Queensland ,QLD
4071,Laura RT,North Queensland ,QLD
4072,Longreach,South Queensland ,QLD
